profile,model,spec,nmax,prompt_id,tg_tps,accept,meanlen,gen_tokens
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,3,5,33.19,0.81900,3.45,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,3,6,29.98,0.71193,3.14,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,3,7,28.76,0.66275,2.99,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,3,8,30.30,0.71605,3.15,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,3,9,30.09,0.71193,3.11,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,4,0,26.43,0.62414,3.48,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,4,1,29.31,0.67883,3.70,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,4,2,27.36,0.61775,3.45,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,4,3,34.10,0.83404,4.32,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,4,4,28.38,0.65018,3.59,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,4,5,31.04,0.73643,3.92,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,4,6,26.38,0.58746,3.34,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,4,7,26.85,0.60201,3.40,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,4,8,26.47,0.58882,3.36,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,4,9,29.02,0.67273,3.64,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,none,off,0,38.95,,,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,none,off,1,38.97,,,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,none,off,2,38.91,,,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,none,off,3,38.87,,,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,none,off,4,38.89,,,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,none,off,5,38.94,,,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,none,off,6,38.92,,,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,none,off,7,38.87,,,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,none,off,8,38.91,,,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,none,off,9,38.86,,,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,1,0,55.53,0.70470,1.70,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,1,1,57.37,0.75862,1.76,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,1,2,54.45,0.66667,1.67,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,1,3,58.39,0.80142,1.80,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,1,4,53.70,0.64516,1.65,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,1,5,56.89,0.74658,1.75,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,1,6,55.11,0.69333,1.69,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,1,7,54.40,0.67105,1.67,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,1,8,54.76,0.67763,1.68,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,1,9,53.76,0.64516,1.65,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,2,0,60.90,0.57627,2.15,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,2,1,65.38,0.64414,2.29,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,2,2,58.29,0.51600,2.03,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,2,3,66.38,0.66820,2.33,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,2,4,58.79,0.52419,2.05,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,2,5,68.40,0.69484,2.38,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,2,6,62.70,0.58974,2.18,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,2,7,58.24,0.51807,2.03,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,2,8,61.02,0.56723,2.13,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,2,9,58.72,0.52419,2.05,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,3,0,61.54,0.48232,2.44,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,3,1,71.39,0.60294,2.80,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,3,2,59.47,0.44207,2.32,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,3,3,72.11,0.62264,2.85,256
